"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02690";"PARINTINS";4;5;"Senador";68205;218;17;0;235;51549;0;16656;"N";103098;90259;90259;90259;0;0;0;0;0;0;0;0;0;5297;7542;7542;0;0;"20:00:26";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02046";"CAREIRO DA VÁRZEA";31;7;"Deputado Estadual";15290;60;3;0;63;12282;0;3008;"N";12282;11878;11878;10767;1111;1111;0;0;0;0;0;0;0;196;208;208;0;0;"20:00:44";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02194";"CANUTAMA";13;5;"Senador";8361;29;1;0;30;5611;0;2750;"N";11222;10031;10031;10031;0;0;0;0;0;0;0;0;0;276;915;915;0;0;"20:00:31";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02259";"COARI";8;7;"Deputado Estadual";50269;168;13;0;181;35619;0;14650;"N";35619;31447;31447;29802;1645;1645;0;0;0;0;0;0;0;649;3523;3523;0;0;"20:00:12";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02399";"IPIXUNA";45;3;"Governador";10761;37;1;0;38;7004;0;3757;"N";7004;6186;6186;6186;0;0;0;0;0;0;0;0;0;123;695;695;0;0;"20:00:07";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02496";"JUTAÍ";41;7;"Deputado Estadual";12387;36;0;0;36;8050;0;4337;"N";8050;7744;7744;7081;663;663;0;0;0;0;0;0;0;143;163;163;0;0;"20:00:24";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02712";"PAUINI";44;5;"Senador";10218;31;1;0;32;6537;0;3681;"N";13074;11542;11542;11542;0;0;0;0;0;0;0;0;0;340;1192;1192;0;0;"20:00:20";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";2;298;"Eleições Gerais Estaduais 2018";"28/10/2018";"E";"AM";"AM";"AMAZONAS";"02291";"EIRUNEPÉ";11;3;"Governador";20738;64;3;0;67;13118;0;7620;"N";13118;12124;12124;12124;0;0;0;0;0;0;0;0;0;117;877;877;0;0;"19:40:50";"28/10/2018"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";2;298;"Eleições Gerais Estaduais 2018";"28/10/2018";"E";"AM";"AM";"AMAZONAS";"02593";"MARAÃ";49;3;"Governador";9607;27;3;0;30;5243;0;4364;"N";5243;4942;4942;4942;0;0;0;0;0;0;0;0;0;13;288;288;0;0;"20:50:46";"28/10/2018"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98450";"SÃO SEBASTIÃO DO UATUMÃ";27;7;"Deputado Estadual";6637;19;0;0;19;4891;0;1746;"N";4891;4705;4705;4467;238;238;0;0;0;0;0;0;0;78;108;108;0;0;"20:00:11";"19/04/2021"
