"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_ELEICAO";"SQ_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_NACIONALIDADE";"DS_NACIONALIDADE";"CD_MUNICIPIO_NASCIMENTO";"NM_MUNICIPIO_NASCIMENTO";"NR_IDADE_DATA_POSSE";"ST_QUILOMBOLA";"CD_ETNIA_INDIGENA";"DS_ETNIA_INDIGENA";"VR_DESPESA_MAX_CAMPANHA";"ST_REELEICAO";"ST_DECLARAR_BENS";"NR_PROTOCOLO_CANDIDATURA";"NR_PROCESSO";"CD_SITUACAO_CANDIDATO_PLEITO";"DS_SITUACAO_CANDIDATO_PLEITO";"CD_SITUACAO_CANDIDATO_URNA";"DS_SITUACAO_CANDIDATO_URNA";"ST_CANDIDATO_INSERIDO_URNA";"NM_TIPO_DESTINACAO_VOTOS";"CD_SITUACAO_CANDIDATO_TOT";"DS_SITUACAO_CANDIDATO_TOT";"ST_PREST_CONTAS";"ST_SUBSTITUIDO";"SQ_SUBSTITUIDO";"SQ_ORDEM_SUPLENCIA";"DT_ACEITE_CANDIDATURA";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_JULGAMENTO_PLEITO";"DS_SITUACAO_JULGAMENTO_PLEITO";"CD_SITUACAO_JULGAMENTO_URNA";"DS_SITUACAO_JULGAMENTO_URNA";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_CASSACAO_MIDIA";"DS_SITUACAO_CASSACAO_MIDIA";"CD_SITUACAO_DIPLOMA";"DS_SITUACAO_DIPLOMA";"CD_GENERO_FEFC";"DS_GENERO_FEFC";"CD_COR_RACA_FEFC";"DS_COR_RACA_FEFC"
"26/08/2026";"03:15:18";2022;546;40001609378;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"50";"#NE";-3;"#NE";"3176572.53";"N";"S";"-1";"06003383620226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;6;"2022-08-08 11:36:20";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001650568;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"77";"#NE";-3;"#NE";"3811887.03";"N";"S";"-1";"06007722520226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-12 16:23:38";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001609311;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"47";"#NE";-3;"#NE";"1270629.01";"N";"N";"-1";"06003123820226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;14;"2022-08-08 11:35:47";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001719239;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"ITACOATIARA";"30";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06008736220226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-15 13:15:15";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001671688;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"23";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06008051520226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-13 13:23:05";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001671697;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"ALTAMIRA";"44";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06007973820226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-13 13:23:05";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001618350;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"42";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06004163020226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-10 09:17:10";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001618362;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"44";"#NE";-3;"#NE";"1270629.01";"N";"N";"-1";"06004129020226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-10 09:17:10";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001600307;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"60";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06003479520226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;24;"2022-08-01 10:39:35";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001618486;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"CODAJÁS";"39";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06005210720226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-10 09:18:30";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001620687;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"40";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06005809220226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;9;"2022-08-10 15:50:27";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001620699;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"IRANDUBA";"38";"#NE";-3;"#NE";"1270629.01";"N";"N";"-1";"06005939120226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;21;"2022-08-10 15:50:27";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001620686;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"RIO BRANCO";"38";"#NE";-3;"#NE";"1270629.01";"N";"N";"-1";"06005834720226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;3;"2022-08-10 15:50:27";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001643460;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"49";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06007039020226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-12 10:02:08";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001618495;2;"DEFERIDO";1;"BRASILEIRA NATA";-3;"MANAUS";"41";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06004691120226040000";"2";"DEFERIDO";"2";"DEFERIDO";"SIM";"Válido";2;"DEFERIDO";"S";"N";-1;-1;"2022-08-10 09:18:30";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
"26/08/2026";"03:15:18";2022;546;40001726395;6;"RENÚNCIA";1;"BRASILEIRA NATA";-3;"MANAUS";"66";"#NE";-3;"#NE";"1270629.01";"N";"S";"-1";"06009922320226040000";"6";"RENÚNCIA";"17";"PENDENTE DE JULGAMENTO";"SIM";"Nulo técnico";6;"RENÚNCIA";"S";"N";-1;-1;"2022-08-20 10:41:45";-3;"#NE";"-3";"#NE";"-3";"#NE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"-3";"#NE"
