"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610419";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000623450";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609311";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000612677";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000604137";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627844";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000617487";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609278";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627682";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000629063";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609259";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627680";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000604618";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609253";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000623463";"J";"Fundamentos legais de julgamento";8;"Impugnação"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000612680";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609315";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628264";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610356";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609296";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000612635";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610356";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609300";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609270";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000617651";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000604140";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609323";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000604886";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609274";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000629572";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000629571";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000617650";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000602408";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627743";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628247";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000611529";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628102";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628257";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628089";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000608874";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627748";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628091";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609273";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628244";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000626326";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000611548";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627878";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628458";"J";"Fundamentos legais de julgamento";1;"Indeferimento de partido ou coligação."
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000623413";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000611553";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000611534";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000623435";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627977";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610406";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000612678";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000608203";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628090";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000608164";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000608881";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000618310";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000608881";"J";"Fundamentos legais de julgamento";8;"Impugnação"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609313";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628262";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627732";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000612659";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627706";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627730";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
