"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGA"
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"AM";"AM";"AMAZONAS";3;"Governador";1
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"AM";"AM";"AMAZONAS";4;"Vice-governador";1
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";5;"Senador";1
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";6;"Deputado Federal";8
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";7;"Deputado Estadual";24
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";9;"1. Suplente";1
"26/08/2026";"03:16:07";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";10;"2. Suplente";1
