Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/30,0800 UTC,0,"1000,7","1000,9","1000,6",0,"25,7","22,7","26,1","25,7","22,9","22,4",84.0,80.0,83.0,18.0,1,",3"
2022/10/30,0900 UTC,0,"1001,4","1001,4","1000,8",0,"25,6","22,7","25,9","25,6","22,9","22,6",84.0,83.0,84.0,345.0,"1,5",",2"
2022/10/30,1000 UTC,0,"1001,8","1001,8","1001,4","20,5","25,8","22,9","25,8","25,4","22,9","22,7",86.0,84.0,84.0,333.0,"1,7",",5"
2022/10/30,1100 UTC,0,"1002,9","1002,9","1001,8","300,3","27,2","22,4","27,2","25,9","22,9","22,3",84.0,75.0,75.0,270.0,"2,6",1
2022/10/30,1200 UTC,0,"1003,5","1003,5","1002,9",941,"28,9","23,1",29,"27,2","23,1","22,4",75.0,69.0,71.0,260.0,"2,8","1,4"
2022/10/30,1300 UTC,0,"1003,6","1003,8","1003,5",1504,"30,5","24,3","30,6","28,9","24,8",23,73.0,67.0,70.0,268.0,"3,5","1,1"
2022/10/30,1400 UTC,0,"1003,6","1003,8","1003,6","2260,9",31,"23,9","31,6","30,1","24,6","23,4",71.0,63.0,66.0,256.0,"3,8","1,3"
2022/10/30,1500 UTC,0,"1002,7","1003,6","1002,7","2148,8","32,9",24,"32,9","30,9","24,4",23,66.0,58.0,59.0,267.0,"3,9","1,4"
2022/10/30,1600 UTC,0,"1001,6","1002,7","1001,6",2213,"32,1","21,7","33,1","31,7","24,6","21,7",62.0,54.0,54.0,241.0,"4,1",2
2022/10/30,1700 UTC,0,"1000,4","1001,6","1000,4","1689,9","32,4","22,8","33,1","31,7","22,9","21,3",58.0,53.0,57.0,262.0,"5,2","1,6"
2022/10/30,1800 UTC,0,"999,6","1000,4","999,6","1483,6","33,1","22,2","33,3","31,9","23,1",22,58.0,52.0,53.0,240.0,"3,8","1,5"
2022/10/30,1900 UTC,0,"999,3","999,6","999,2","1370,3","33,3","22,5","33,7","32,4","23,2","21,5",57.0,51.0,53.0,260.0,"3,3",",7"
2022/10/30,2000 UTC,0,"998,9","999,3","998,9","781,9","32,8","21,3","33,4","32,1","22,7","19,3",56.0,45.0,51.0,25.0,"3,8",",8"
2022/10/30,2100 UTC,0,"998,9","998,9","998,8","342,5","31,5","23,2","32,9","31,5","23,2","20,2",62.0,48.0,62.0,280.0,"3,2",",9"
2022/10/30,2200 UTC,0,"998,7","998,9","998,7","70,8","30,2","23,3","31,5","30,2","23,4",23,67.0,61.0,66.0,338.0,"2,5",",6"
2022/10/30,2300 UTC,0,"999,2","999,2","998,6",0,"30,6","22,9","30,6","29,4","23,5","22,9",70.0,64.0,64.0,51.0,"1,8",1
