"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO";"NM_TIPO_DESTINACAO_VOTOS"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"COLIGAÇÃO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO";"#NULO";"#NULO";40001683086;"AQUI É TRABALHO";"REPUBLICANOS / PP / PSC / PL / PTB / PRTB / PMN / UNIÃO / PATRIOTA";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"PARTIDO ISOLADO";70;"AVANTE";"AVANTE";-1;"#NULO";"#NULO";"#NULO";40001685840;"#NULO";"AVANTE";"IR";"INDEFERIDO COM RECURSO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"COLIGAÇÃO";20;"PSC";"PARTIDO SOCIAL CRISTÃO";-1;"#NULO";"#NULO";"#NULO";40001683086;"AQUI É TRABALHO";"REPUBLICANOS / PP / PSC / PL / PTB / PRTB / PMN / UNIÃO / PATRIOTA";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";7;"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";70;"AVANTE";"AVANTE";-1;"#NULO";"#NULO";"#NULO";40001681440;"#NULO";"AVANTE";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";11;"PP";"PROGRESSISTAS";-1;"#NULO";"#NULO";"#NULO";40001682178;"AQUI É TRABALHO";"REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"PARTIDO ISOLADO";33;"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";-1;"#NULO";"#NULO";"#NULO";40001682154;"#NULO";"PMN";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";10;"2º SUPLENTE";"FEDERAÇÃO";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";3;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";40001685308;"#NULO";"Federação PSOL REDE (PSOL / REDE)";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";9;"1º SUPLENTE";"FEDERAÇÃO";18;"REDE";"REDE SUSTENTABILIDADE";3;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";40001685308;"#NULO";"Federação PSOL REDE (PSOL / REDE)";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";33;"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";-1;"#NULO";"#NULO";"#NULO";40001682178;"AQUI É TRABALHO";"REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"PARTIDO ISOLADO";90;"PROS";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";-1;"#NULO";"#NULO";"#NULO";40001685329;"#NULO";"PROS";"PJ";"PENDENTE JULGAMENTO";"Válido (legenda)"
