"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGA"
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";3;"Governador";1
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";4;"Vice-governador";1
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";5;"Senador";2
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";6;"Deputado Federal";8
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";7;"Deputado Estadual";24
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";9;"1. Suplente";1
"13/11/2024";"10:55:17";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AM";"AM";"AMAZONAS";10;"2. Suplente";1
