DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2014-10-05,00:00,0,"1004,5","1004,5","1003,3",-9999,"24,8","23,9","24,9","24,6",24,"23,6",95,93,95,340,",7",0
2014-10-05,01:00,0,"1005,6","1005,6","1004,4",-9999,"24,4","23,6","24,8","24,4","23,9","23,5",95,95,95,269,",4",0
2014-10-05,02:00,0,"1006,5","1006,5","1005,6",-9999,"24,5","23,6","24,6","24,4","23,7","23,5",95,94,95,99,"1,3",0
2014-10-05,03:00,0,"1006,2","1006,5","1006,2",-9999,"24,4","23,6","24,5","24,3","23,6","23,4",95,95,95,235,",3",0
2014-10-05,04:00,0,"1005,5","1006,3","1005,5",-9999,"24,1","23,3","24,4","24,1","23,5","23,3",95,95,95,178,",5",0
2014-10-05,05:00,0,"1005,3","1005,5","1005,1",-9999,24,"23,2","24,2",24,"23,4","23,2",95,95,95,35,"1,2",",1"
2014-10-05,06:00,0,"1004,5","1005,3","1004,5",-9999,"23,8","23,1",24,"23,8","23,3",23,96,95,96,278,"1,1",0
2014-10-05,07:00,0,"1004,2","1004,5","1004,1",-9999,"23,7",23,"23,9","23,7","23,2",23,96,96,96,25,",1",0
2014-10-05,08:00,0,"1004,3","1004,4","1004,2",-9999,"23,7","22,9","23,8","23,7","23,1","22,9",96,96,96,145,",2",0
2014-10-05,09:00,0,"1005,1","1005,1","1004,3",-9999,"23,8","23,1","23,9","23,7","23,2","22,9",96,96,96,356,",6",0
2014-10-05,10:00,0,"1005,7","1005,7","1005,1","4,5","24,1","23,3","24,1","23,8","23,3","23,1",96,95,95,128,",5",0
2014-10-05,11:00,0,"1006,5","1006,5","1005,7","128,2","24,4","23,5","24,4",24,"23,6","23,2",95,95,95,123,"1,6",",2"
2014-10-05,12:00,0,"1007,5","1007,5","1006,5","270,9","24,9","23,6","25,3","24,4","23,9","23,5",95,91,93,41,"1,4",",7"
2014-10-05,13:00,0,1008,1008,"1007,5","628,2","26,4","23,9","26,4","24,8","24,1","23,6",94,86,86,333,"1,7",0
2014-10-05,14:00,0,"1007,9","1008,2","1007,9","1299,3",28,"24,3",28,"26,4","24,3","23,5",86,80,80,148,"3,3","1,5"
2014-10-05,15:00,0,"1007,3",1008,"1007,3","1955,4","29,1","23,6","29,3","27,8","24,2","23,3",80,71,72,114,"3,5",",8"
2014-10-05,16:00,0,"1006,1","1007,3","1006,1","2874,2","31,1","22,8","31,7","29,1","24,2","22,6",73,61,61,108,"4,5","1,5"
2014-10-05,17:00,0,"1004,2","1006,1","1004,2","3048,2","32,5","21,9","32,6","30,7","23,8","21,9",63,53,54,63,"3,9",",9"
2014-10-05,18:00,0,"1002,9","1004,2","1002,9","2779,8","32,6","22,1","33,7","31,8","22,9","21,3",58,50,54,135,"5,2","2,3"
2014-10-05,19:00,0,"1001,8","1002,9","1001,8","2691,6","33,5","21,2","34,2","32,6","22,5","19,9",56,44,49,60,"5,7",2
2014-10-05,20:00,0,1001,"1001,9","1000,9","1587,8","33,2","22,6","33,8","32,3","22,6","20,4",55,46,54,148,"4,7","1,1"
2014-10-05,21:00,"12,4","1001,5","1002,2",1001,"410,2","25,2",24,"33,2","24,1","24,2","21,2",94,54,93,170,"11,1",",4"
2014-10-05,22:00,0,"1001,8","1001,8","1001,2",180,"25,4","24,2","26,2","25,2","24,9","23,9",94,89,94,330,"2,5",0
2014-10-05,23:00,0,"1002,8","1002,8","1001,8",-9999,"24,7","23,8","25,4","24,6","24,3","23,7",95,93,95,306,",8",0
2014-10-26,00:00,0,"1004,2","1004,3",1003,-9999,"23,6","22,7","23,7","23,6","22,8","22,6",95,94,95,116,"1,9",",1"
2014-10-26,01:00,",4","1004,8","1004,8","1004,2",-9999,"23,6","22,7","23,6","23,5","22,8","22,7",95,95,95,284,"1,4",",1"
2014-10-26,02:00,0,"1005,2","1005,2","1004,8",-9999,"23,5","22,7","23,6","23,4","22,7","22,6",95,95,95,360,1,0
2014-10-26,03:00,0,"1005,5","1005,6","1005,2",-9999,"23,5","22,7","23,5","23,4","22,8","22,7",96,95,96,148,",7",0
