DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2014-10-05,00:00,0,1007,1007,1006,-9999,"27,8","24,9","27,9","27,8","24,9","24,3",84,81,84,236,"1,7",",3"
2014-10-05,01:00,0,1008,"1008,1",1007,-9999,"27,3","24,9","27,8","27,3","25,3","24,9",87,84,87,236,"2,4",",1"
2014-10-05,02:00,0,"1008,7","1008,7",1008,-9999,27,"24,9","27,3",27,"24,9","24,7",88,87,88,236,"1,5",",1"
2014-10-05,03:00,0,"1008,5","1008,8","1008,5",-9999,"26,7","24,4",27,"26,7","25,1","24,4",89,87,87,237,"2,1",",5"
2014-10-05,04:00,0,"1008,4","1008,6","1008,4",-9999,"26,4",25,"26,7","26,4",25,"24,2",92,86,92,236,"2,1",0
2014-10-05,05:00,0,"1007,4","1008,4","1007,4",-9999,"25,9","24,8","26,4","25,9",25,"24,8",94,92,94,288,",5",0
2014-10-05,06:00,0,"1007,1","1007,4","1007,1",-9999,"25,6","24,5","25,9","25,5","24,8","24,5",94,94,94,230,0,0
2014-10-05,07:00,0,"1007,4","1007,4",1007,-9999,"25,7","24,5","25,7","25,5","24,6","24,3",94,93,93,232,0,0
2014-10-05,08:00,0,"1007,4","1007,5","1007,3",-9999,"26,2","24,4","26,2","25,6","24,9","24,4",94,90,90,231,"2,7",",4"
2014-10-05,09:00,0,1008,1008,"1007,4",-9999,"25,8","24,1","26,2","25,8","24,5","24,1",90,90,90,237,"2,3",0
