"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02836";"SÃO GABRIEL DA CACHOEIRA";19;3;"Governador";28704;89;9;0;98;16024;0;12680;"N";16024;15363;15363;15363;0;0;0;0;0;0;0;0;0;267;394;394;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"98493";"UARINI";9;3;"Governador";7230;22;6;0;28;4313;0;2917;"N";4313;4101;4101;4101;0;0;0;0;0;0;0;0;0;69;143;143;0;0;"00:00:00";"27/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02615";"MAUÉS";5;3;"Governador";29765;77;28;0;105;19054;0;10711;"N";19054;18210;18210;18210;0;0;0;0;0;0;0;0;0;269;575;575;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";37;3;"Governador";87935;237;10;0;247;75507;0;12428;"N";75507;56813;56813;56813;0;0;0;0;0;0;0;0;0;3645;15049;15049;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"02372";"SANTA ISABEL DO RIO NEGRO";30;3;"Governador";7522;21;1;0;22;3845;0;3677;"N";3845;3714;3714;3714;0;0;0;0;0;0;0;0;0;46;85;85;0;0;"00:00:00";"27/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"02003";"APUÍ";67;3;"Governador";10034;28;14;0;42;5168;0;4866;"N";5168;4480;4480;4480;0;0;0;0;0;0;0;0;0;167;521;521;0;0;"00:00:00";"27/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02577";"MANICORÉ";16;3;"Governador";27872;91;9;0;100;17008;0;10864;"N";17008;16353;16353;16353;0;0;0;0;0;0;0;0;0;226;429;429;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"02011";"NOVO AIRÃO";34;3;"Governador";9964;30;1;0;31;6294;0;3670;"N";6294;5708;5708;5708;0;0;0;0;0;0;0;0;0;167;419;419;0;0;"00:00:00";"27/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02992";"CAAPIRANGA";55;3;"Governador";8034;22;1;0;23;5272;0;2762;"N";5272;5100;5100;5100;0;0;0;0;0;0;0;0;0;64;108;108;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"02313";"ENVIRA";46;3;"Governador";11181;34;0;0;34;6002;0;5179;"N";6002;5674;5674;5674;0;0;0;0;0;0;0;0;0;156;172;172;0;0;"00:00:00";"27/08/2017"
