DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1004,2","1004,2","1003,7",-9999,"28,6","22,9",29,"28,5","22,9","22,1",71,67,71,301,"3,1","1,5"
2018-10-07,01:00,0,"1004,7","1004,8","1004,2",-9999,"28,1","22,7","28,6","28,1","23,1","22,6",73,71,73,17,"2,4",",3"
2018-10-07,02:00,0,"1005,3","1005,3","1004,7",-9999,"28,1","22,8","28,2",28,23,"22,7",74,73,73,296,"2,1","1,2"
2018-10-07,03:00,0,"1005,6","1005,7","1005,3",-9999,28,"22,9","28,2","27,7",23,"22,8",75,73,74,299,"2,1",",3"
2018-10-07,04:00,0,"1005,4","1005,6","1005,4",-9999,"26,9","23,3","28,1","26,9","23,4","22,8",81,73,81,50,",9",",1"
2018-10-07,05:00,0,"1004,9","1005,4","1004,8",-9999,"26,3","23,1",27,"26,3","23,3","23,1",83,80,83,55,1,",6"
2018-10-07,06:00,0,"1004,3","1004,9","1004,3",-9999,"26,9","22,8",27,"26,1","23,3","22,8",84,78,78,309,"1,3",",5"
2018-10-07,07:00,0,"1004,8","1004,8","1004,3",-9999,"25,9","23,1","27,1","25,9","23,1","22,8",84,78,84,56,"1,3",0
2018-10-07,08:00,0,"1004,9","1004,9","1004,8",-9999,"25,6","23,2","25,9","25,5","23,2","22,9",86,84,86,29,"1,1",",1"
2018-10-07,09:00,0,"1005,5","1005,5","1004,9",-9999,"26,7","23,8","26,7","25,6",24,"23,1",87,84,84,266,"2,7","1,2"
2018-10-07,10:00,0,"1006,3","1006,3","1005,5",",4","26,2","22,5","26,7","26,2","23,8","22,5",84,80,80,313,"2,9",1
2018-10-07,11:00,0,"1007,4","1007,4","1006,3",172,"26,9","22,7","26,9","26,2","22,9","22,3",80,78,78,264,"3,3","1,7"
2018-10-07,12:00,0,"1007,9","1007,9","1007,4",502,"27,9","23,8","27,9","26,9","23,8","22,6",81,77,78,288,"3,1","1,6"
2018-10-07,13:00,0,"1008,3","1008,3","1007,9","1987,9","29,1","23,4","29,5","27,8",24,"23,3",78,70,71,238,"4,1","2,2"
2018-10-07,14:00,0,1008,"1008,4",1008,"2799,5","30,9","22,9","31,4","29,1","23,8","21,6",72,59,63,237,"4,3",2
2018-10-07,15:00,0,"1007,2",1008,"1007,2","3183,3","32,1","22,7","32,2","30,7","23,4","22,1",63,56,58,238,"4,3","2,1"
2018-10-07,16:00,0,"1005,8","1007,2","1005,8","3565,7",34,"22,6","34,1",32,"23,3","21,4",59,51,51,225,"3,9","1,8"
2018-10-07,17:00,0,"1004,8","1005,8","1004,8","3351,9","34,6","22,2","34,7","32,8","23,1","21,8",55,49,49,205,"3,8","1,7"
2018-10-07,18:00,0,"1003,6","1004,7","1003,6","2382,7","33,9","21,9","35,4","33,6","23,6","21,4",54,46,50,192,"4,5",2
2018-10-07,19:00,0,"1002,4","1003,8","1002,4",2042,35,"20,7","35,1","31,6","21,9","19,4",50,40,43,45,"8,9","1,8"
2018-10-07,20:00,0,1002,"1002,4","1001,4","1681,5","34,8","20,9","35,2","34,3","21,8","20,3",47,43,44,348,"3,8","1,4"
2018-10-07,21:00,0,1002,"1002,1","1001,8","884,6",34,"20,7",35,34,"21,3","20,4",46,44,46,39,"3,7","1,3"
2018-10-07,22:00,0,"1002,3","1002,3","1001,9","94,1","31,2","21,5",34,"31,2","22,4","20,5",58,46,56,52,"5,8","1,5"
2018-10-07,23:00,0,"1003,2","1003,2","1002,3",-9999,"30,4","21,2","31,2","30,4","21,5","20,9",58,55,58,55,"3,1","1,4"
2018-10-28,00:00,0,"1004,1","1004,1","1003,3",-9999,"29,8","23,1","30,3","29,8","23,1","22,1",67,63,67,58,"1,5",1
2018-10-28,01:00,0,"1004,5","1004,6",1004,-9999,"29,2","23,2","29,8","29,1","23,5",23,71,67,70,56,"1,7",",4"
2018-10-28,02:00,0,"1004,5","1004,6","1004,3",-9999,"28,3","23,6","29,3","28,3","23,6",23,76,70,76,103,"1,6",",2"
2018-10-28,03:00,0,"1004,6","1004,7","1004,5",-9999,"27,9","24,2","28,3","27,9","24,2","23,6",80,76,80,135,"2,1",",6"
2018-10-28,04:00,0,"1004,1","1004,7","1004,1",-9999,28,"23,7","28,3","27,9","24,6","23,5",81,75,77,151,"3,5","1,4"
2018-10-28,05:00,0,"1003,7","1004,1","1003,7",-9999,"27,5","23,5",28,"27,5","23,7","23,3",79,77,79,161,"2,6",1
2018-10-28,06:00,0,"1003,6","1003,8","1003,6",-9999,"27,3","23,9","27,5","27,3","23,9","23,5",82,79,82,90,"1,8",",2"
2018-10-28,07:00,0,"1003,6","1003,8","1003,6",-9999,"27,3","23,3","27,5","27,3",24,"23,3",82,79,79,161,3,"1,4"
2018-10-28,08:00,0,"1003,9",1004,"1003,6",-9999,"26,8","23,9","27,3","26,8","23,9","23,3",84,79,84,191,3,1
2018-10-28,09:00,0,"1004,6","1004,6","1003,9",-9999,"26,1","23,3","26,8","26,1","23,9","23,1",85,83,85,183,"3,4",2
2018-10-28,10:00,0,"1005,3","1005,3","1004,6",9,"25,7","23,2","26,1","25,6","23,4",23,86,85,86,191,"3,9",2
2018-10-28,11:00,0,"1006,2","1006,2","1005,3","277,6","26,3","23,3","26,3","25,7","23,4","23,1",86,83,84,164,"4,1","1,9"
2018-10-28,12:00,0,"1006,9","1006,9","1006,2","950,5","27,8","23,7","28,1","26,3",24,"23,2",84,78,78,155,"3,8","1,6"
2018-10-28,13:00,0,1007,"1007,1","1006,9","1864,3","30,3","24,2","30,4","27,7","24,8","23,6",79,70,70,171,"3,8","1,5"
2018-10-28,14:00,0,"1006,6",1007,"1006,6","2589,8","31,6","24,1","32,1","29,6","24,8","23,6",72,64,64,164,"4,2","1,9"
2018-10-28,15:00,0,"1005,9","1006,6","1005,9","3000,1","32,8","23,5","33,4","31,6","24,9","23,3",66,56,58,126,"3,8","1,5"
2018-10-28,16:00,0,"1004,5","1005,9","1004,4","3273,5","34,4","23,7","34,6","32,5","24,9","23,2",62,53,54,163,"4,8","2,3"
2018-10-28,17:00,0,"1003,5","1004,5","1003,5","3192,6","34,1","22,9","35,3","32,2","24,8","22,6",63,52,52,72,"7,2","2,9"
2018-10-28,18:00,",8","1002,6","1003,5","1002,3","2528,5","27,1","22,2","34,9","27,1","23,6","20,9",74,47,74,115,"11,7","6,2"
2018-10-28,19:00,"8,8","1001,8","1003,1","1001,8","372,6","27,9","23,1",28,"25,4","23,5","22,1",86,74,75,56,"11,8","1,2"
2018-10-28,20:00,0,"1002,1","1002,2","1001,5","190,6","28,2","22,6","28,3","27,4","23,3","22,3",76,71,72,68,"3,6",",7"
2018-10-28,21:00,0,"1002,4","1002,4","1001,7",137,"28,7","23,6","28,8","28,1","24,1","22,5",77,71,74,192,"2,8","1,4"
2018-10-28,22:00,0,"1002,7","1002,7","1002,3","23,2","27,9","24,3","28,8","27,8","24,3",23,81,72,81,240,"2,5",",7"
2018-10-28,23:00,0,"1003,6","1003,6","1002,6",-9999,"27,9","24,1","28,1","27,8","24,5",24,81,79,80,272,"2,3",",3"
