DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-28,13:00,0,"1006,2","1006,2",1006,"1884,8","30,7","24,7",31,28,"26,1","24,7",85,70,71,147,"3,8",2
2018-10-28,14:00,0,"1006,2","1006,4","1006,2","1790,5","31,9","24,9","32,2","29,9","25,7","24,3",74,66,67,307,"4,3",",4"
2018-10-28,15:00,0,"1005,5","1006,2","1005,5","1980,9","31,5","23,9","33,4","31,2","25,4","23,6",70,60,64,67,"3,6","1,1"
2018-10-28,16:00,0,"1004,2","1005,5","1004,2","2733,4","33,4","23,1","34,2","31,5","24,8","22,9",67,54,55,66,"4,3","1,8"
2018-10-28,17:00,0,"1003,2","1004,2","1003,2","2952,1","33,9","22,8",35,"33,4","23,6","22,3",55,50,52,57,"6,7","2,7"
2018-10-28,18:00,0,"1001,7","1003,2","1001,7",2732,"34,7","22,2","34,8","33,9","23,7","22,1",54,49,49,63,"6,3",3
2018-10-28,19:00,0,"1001,2","1001,7","1001,1","1942,2","33,3","23,4","35,1","33,3","23,6","21,8",56,48,56,44,"5,5","2,2"
2018-10-28,20:00,0,1001,"1001,2","1000,6","1010,7","33,4","24,1","33,9",33,"24,8","23,1",61,54,58,49,"4,4",",9"
2018-10-28,21:00,0,"1001,5","1001,5",1001,"453,7",30,"24,4","33,4",30,"24,7","23,6",72,57,72,165,"4,2","1,1"
2018-10-28,22:00,0,1002,1002,"1001,5","23,8",28,"24,9",30,28,"25,1","23,9",84,71,83,120,"2,2",",6"
2018-10-28,23:00,0,"1002,4","1002,5",1002,-9999,"27,5","23,6","28,2","27,5",25,"23,4",85,76,79,233,"3,8",",7"
