DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2018-10-07,00:00,0,"1002,7","1002,7","1002,1",0,"30,1","21,1","30,6","30,1","21,2","20,9",59,56,59,346,"3,8",",9",
2018-10-07,01:00,0,"1003,4","1003,4","1002,7",0,"29,9","22,7","30,3","29,9","22,7","21,1",66,59,66,226,"2,9","1,6",
2018-10-07,02:00,0,"1004,2","1004,2","1003,4",0,"29,5","22,9",30,"29,4","23,3","22,8",69,65,68,250,"3,2","1,2",
2018-10-07,03:00,0,"1004,2","1004,4","1004,2",0,"29,3","22,9","29,6","28,9","22,9","22,7",70,67,69,9,"1,8",",4",
2018-10-07,04:00,0,1004,"1004,4",1004,0,"28,8",23,"29,4","28,6","23,1","22,8",72,68,71,294,"1,5",",7",
2018-10-07,05:00,0,"1003,4",1004,"1003,4",0,"28,5",24,"28,8","28,4","24,1","22,8",77,70,77,249,"2,1",",9",
2018-10-07,06:00,0,"1003,1","1003,4","1003,1",0,"28,1","23,8","28,6","28,1","24,2","23,8",79,77,78,275,"1,9",1,
2018-10-07,07:00,0,"1003,4","1003,4",1003,0,"27,5","23,1","28,1","27,5","23,8",23,78,75,77,265,"1,9",",5",
2018-10-07,08:00,0,"1003,7","1003,7","1003,4",0,"27,6","23,8","28,2","27,5","24,4","23,1",81,75,80,198,"2,3",1,
2018-10-07,09:00,0,"1004,3","1004,3","1003,7",0,27,"23,9","27,6",27,24,"23,7",83,80,83,153,"1,8",",2",
2018-10-07,10:00,0,1005,1005,"1004,3","7,3",27,"23,7","27,2","26,7","24,1","23,7",85,82,82,349,",9",",3",
2018-10-07,11:00,0,"1005,8","1005,8",1005,"293,3","28,6","23,5","28,6",27,"23,7","23,3",82,74,74,338,"1,1",",3",
2018-10-07,12:00,0,"1006,4","1006,4","1005,8","1103,4","30,2","24,2","30,2","28,6","24,6","22,8",75,65,70,251,3,"1,4",
2018-10-07,13:00,0,"1006,9","1006,9","1006,4","1504,4","31,3","23,9","31,4","29,7","24,8","23,9",74,65,65,276,3,"1,2",
