"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"DS_MOTIVO_CASSACAO"
"05/04/2021";"18:39:43";"2014";"1";"Eleição Suplementar";"268";"Eleição Suplementar Governador AM";"AM";"AM";"AMAZONAS";"40000012065";"Ausência de requisito de registro "
"05/04/2021";"18:39:43";"2014";"1";"Eleição Suplementar";"268";"Eleição Suplementar Governador AM";"AM";"AM";"AMAZONAS";"40000012072";"Ficha limpa (LC 64/90)"
