UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;BOCA DO ACRE;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;306;0,9027;33;339;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;74;0,7184;29;103;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;FEMININO;LÊ E ESCREVE;102;0,7612;32;134;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;FEMININO;SUPERIOR COMPLETO;87;0,8878;11;98;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;FEMININO;SUPERIOR INCOMPLETO;19;0,8636;3;22;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;ANALFABETO;68;0,5152;64;132;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35;0,7609;11;46;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;284;0,7301;105;389;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;284;0,8685;43;327;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;66;0,7253;25;91;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;LÊ E ESCREVE;110;0,7692;33;143;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;SUPERIOR COMPLETO;64;0,9275;5;69;2025-04-29 22:31:40
AM;BOCA DO ACRE;35 a 39 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;16;0,8889;2;18;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;ANALFABETO;86;0,5972;58;144;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;22;0,7097;9;31;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;250;0,8532;43;293;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;237;0,8745;34;271;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;43;0,8269;9;52;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;LÊ E ESCREVE;106;0,8154;24;130;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;SUPERIOR COMPLETO;121;0,8897;15;136;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;FEMININO;SUPERIOR INCOMPLETO;18;0,8571;3;21;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;ANALFABETO;92;0,4742;102;194;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;24;0,75;8;32;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;319;0,8096;75;394;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;212;0,8908;26;238;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;45;0,8491;8;53;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;LÊ E ESCREVE;149;0,7842;41;190;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;SUPERIOR COMPLETO;84;0,8571;14;98;2025-04-29 22:31:40
AM;BOCA DO ACRE;40 a 44 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;11;0,9167;1;12;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;ANALFABETO;119;0,6041;78;197;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;20;0,9524;1;21;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;188;0,891;23;211;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;145;0,9119;14;159;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;26;0,7647;8;34;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;LÊ E ESCREVE;131;0,7892;35;166;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;SUPERIOR COMPLETO;85;0,9551;4;89;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;FEMININO;SUPERIOR INCOMPLETO;4;0,5714;3;7;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;ANALFABETO;142;0,5259;128;270;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;21;0,7241;8;29;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;206;0,8374;40;246;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;122;0,9242;10;132;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;30;0,9091;3;33;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;LÊ E ESCREVE;177;0,8157;40;217;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;NÃO INFORMADO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;SUPERIOR COMPLETO;59;0,9365;4;63;2025-04-29 22:31:40
AM;BOCA DO ACRE;45 a 49 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;3;0,75;1;4;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;ANALFABETO;126;0,6087;81;207;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;10;0,8333;2;12;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;122;0,8414;23;145;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;88;0,9072;9;97;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;18;0,8571;3;21;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;LÊ E ESCREVE;142;0,882;19;161;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;SUPERIOR COMPLETO;68;0,9067;7;75;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;FEMININO;SUPERIOR INCOMPLETO;4;0,6667;2;6;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;ANALFABETO;109;0,5117;104;213;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;20;0,7692;6;26;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;140;0,8642;22;162;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;94;0,8785;13;107;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;16;0,8421;3;19;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;LÊ E ESCREVE;165;0,8462;30;195;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;SUPERIOR COMPLETO;44;0,88;6;50;2025-04-29 22:31:40
AM;BOCA DO ACRE;50 a 54 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;ANALFABETO;105;0,5676;80;185;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;10;0,8333;2;12;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;110;0,9016;12;122;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;57;0,9048;6;63;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;8;0,8889;1;9;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;LÊ E ESCREVE;151;0,8251;32;183;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;FEMININO;SUPERIOR COMPLETO;52;0,9455;3;55;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;ANALFABETO;113;0,4913;117;230;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;7;0,6364;4;11;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;119;0,8623;19;138;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;56;0,8615;9;65;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;19;0,8636;3;22;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;LÊ E ESCREVE;149;0,8187;33;182;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;SUPERIOR COMPLETO;35;0,9722;1;36;2025-04-29 22:31:40
AM;BOCA DO ACRE;55 a 59 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;ANALFABETO;77;0,4667;88;165;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;7;0,6364;4;11;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;77;0,8191;17;94;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;35;0,8537;6;41;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;7;0,875;1;8;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;LÊ E ESCREVE;136;0,7953;35;171;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;SUPERIOR COMPLETO;19;0,8261;4;23;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;ANALFABETO;103;0,4598;121;224;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;17;0,8095;4;21;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;75;0,8523;13;88;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;40;0,9091;4;44;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;11;0,8462;2;13;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;LÊ E ESCREVE;172;0,8912;21;193;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;SUPERIOR COMPLETO;25;0,8929;3;28;2025-04-29 22:31:40
AM;BOCA DO ACRE;60 a 64 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;3;1;0;3;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;ANALFABETO;54;0,3576;97;151;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;9;0,9;1;10;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;31;0,7561;10;41;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;22;0,88;3;25;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;LÊ E ESCREVE;85;0,7083;35;120;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;FEMININO;SUPERIOR COMPLETO;20;1;0;20;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;ANALFABETO;81;0,407;118;199;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;9;0,6429;5;14;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;42;0,7925;11;53;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;27;0,7941;7;34;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;7;0,7;3;10;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;LÊ E ESCREVE;147;0,8077;35;182;2025-04-29 22:31:40
AM;BOCA DO ACRE;65 a 69 anos                  ;MASCULINO;SUPERIOR COMPLETO;15;0,8333;3;18;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;ANALFABETO;36;0,2264;123;159;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;17;0,5862;12;29;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;9;0,6429;5;14;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;2;0,6667;1;3;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;LÊ E ESCREVE;53;0,631;31;84;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;FEMININO;SUPERIOR COMPLETO;8;0,7273;3;11;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;ANALFABETO;28;0,1958;115;143;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;6;0,8571;1;7;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;20;0,7143;8;28;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;13;0,8667;2;15;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;LÊ E ESCREVE;63;0,5727;47;110;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;SUPERIOR COMPLETO;5;1;0;5;2025-04-29 22:31:40
AM;BOCA DO ACRE;70 a 74 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;ANALFABETO;12;0,0909;120;132;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;0,3333;2;3;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;7;0,7;3;10;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;6;0,6;4;10;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;LÊ E ESCREVE;23;0,284;58;81;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;FEMININO;SUPERIOR COMPLETO;2;0,6667;1;3;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;ANALFABETO;15;0,1282;102;117;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;0;0;6;6;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;4;0,3636;7;11;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;5;0,8333;1;6;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;0,5;1;2;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;LÊ E ESCREVE;35;0,3933;54;89;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;NÃO INFORMADO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;75 a 79 anos                  ;MASCULINO;SUPERIOR COMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;FEMININO;ANALFABETO;3;0,0278;105;108;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;6;0,6667;3;9;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;0;0;2;2;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;FEMININO;LÊ E ESCREVE;6;0,0896;61;67;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;ANALFABETO;10;0,0952;95;105;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;3;1;0;3;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;4;0,5714;3;7;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;2;1;0;2;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;LÊ E ESCREVE;14;0,2059;54;68;2025-04-29 22:31:40
AM;BOCA DO ACRE;80 a 84 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;FEMININO;ANALFABETO;0;0;87;87;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;0;0;2;2;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;FEMININO;LÊ E ESCREVE;2;0,0417;46;48;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;MASCULINO;ANALFABETO;5;0,0725;64;69;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;2;0,6667;1;3;2025-04-29 22:31:40
AM;BOCA DO ACRE;85 a 89 anos                  ;MASCULINO;LÊ E ESCREVE;4;0,0833;44;48;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;FEMININO;ANALFABETO;0;0;58;58;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;FEMININO;LÊ E ESCREVE;1;0,0303;32;33;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;MASCULINO;ANALFABETO;2;0,0328;59;61;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;90 a 94 anos                  ;MASCULINO;LÊ E ESCREVE;0;0;32;32;2025-04-29 22:31:40
AM;BOCA DO ACRE;95 a 99 anos                  ;FEMININO;ANALFABETO;0;0;45;45;2025-04-29 22:31:40
AM;BOCA DO ACRE;95 a 99 anos                  ;FEMININO;LÊ E ESCREVE;0;0;21;21;2025-04-29 22:31:40
AM;BOCA DO ACRE;95 a 99 anos                  ;MASCULINO;ANALFABETO;0;0;34;34;2025-04-29 22:31:40
AM;BOCA DO ACRE;95 a 99 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BOCA DO ACRE;95 a 99 anos                  ;MASCULINO;LÊ E ESCREVE;0;0;38;38;2025-04-29 22:31:40
AM;BOCA DO ACRE;Inválido                      ;FEMININO;LÊ E ESCREVE;1;1;0;1;2025-04-29 22:31:40
AM;BORBA;100 anos ou mais              ;FEMININO;ANALFABETO;0;0;8;8;2025-04-29 22:31:40
AM;BORBA;100 anos ou mais              ;FEMININO;LÊ E ESCREVE;1;0,3333;2;3;2025-04-29 22:31:40
AM;BORBA;100 anos ou mais              ;MASCULINO;ANALFABETO;1;0,0833;11;12;2025-04-29 22:31:40
AM;BORBA;100 anos ou mais              ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;BORBA;100 anos ou mais              ;MASCULINO;LÊ E ESCREVE;1;0,2;4;5;2025-04-29 22:31:40
AM;BORBA;16 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;10;0,625;6;16;2025-04-29 22:31:40
AM;BORBA;16 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;66;0,8571;11;77;2025-04-29 22:31:40
AM;BORBA;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;9;0,5625;7;16;2025-04-29 22:31:40
AM;BORBA;16 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;BORBA;16 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;66;0,8684;10;76;2025-04-29 22:31:40
AM;BORBA;16 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;FEMININO;ANALFABETO;0;0;1;1;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;14;0,6364;8;22;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;8;0,8889;1;9;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;132;0,88;18;150;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;MASCULINO;ANALFABETO;1;1;0;1;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;12;0,7059;5;17;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;4;1;0;4;2025-04-29 22:31:40
AM;BORBA;17 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;113;0,876;16;129;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;7;0,875;1;8;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;29;0,7838;8;37;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;16;0,7273;6;22;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;135;0,8133;31;166;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;MASCULINO;ANALFABETO;1;1;0;1;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;3;0,6;2;5;2025-04-29 22:31:40
AM;BORBA;18 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;26;0,5909;18;44;2025-04-29 22:31:40
