UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;70;0,7778;20;90;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;FEMININO;LÊ E ESCREVE;5;0,625;3;8;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;FEMININO;SUPERIOR INCOMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;ANALFABETO;1;1;0;1;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;55;0,6548;29;84;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;58;0,8286;12;70;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;LÊ E ESCREVE;4;0,5;4;8;2025-04-29 22:31:40
AM;ALVARÃES;19 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;ANALFABETO;2;1;0;2;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;0,2;4;5;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;55;0,7746;16;71;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;10;0,9091;1;11;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;77;0,8191;17;94;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;LÊ E ESCREVE;8;0,7273;3;11;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;SUPERIOR COMPLETO;1;1;0;1;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;FEMININO;SUPERIOR INCOMPLETO;2;1;0;2;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;MASCULINO;ANALFABETO;1;0,5;1;2;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;4;1;0;4;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;59;0,7195;23;82;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;8;0,8889;1;9;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;50;0,6667;25;75;2025-04-29 22:31:40
AM;ALVARÃES;20 anos                       ;MASCULINO;LÊ E ESCREVE;6;0,6667;3;9;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ANALFABETO;7;0,5385;6;13;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;15;0,8824;2;17;2025-04-29 22:31:40
